contrast_id	schema_version	manifest_row	rds_id	cell_type_high_resolution	sex	apoe_group	yu_stratum	yu_contrast	contrast_family	contrast_name	contrast_kind	numerator	denominator	cells_ad_expected	cells_nci_expected	donors_ad_expected	donors_nci_expected	analysis_population	modeling_status	modeling_reason	terminal_status	genes_returned_phase08	paper_degs_phase08	phase08_status_message	broad_cell_type	signature_group	fine_cell_type	structural_status	structurally_available	contrast_order	background_size	background_status	mito_deg_any_count	mito_deg_down_count	mito_deg_up_count	phase09_contrast_paper_degs
excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e2	fine_deg_pathway_contrast_manifest_v1	4	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	4010	3277	7	6	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	10846	2653	NA	Excitatory_neurons	M_e2	Exc L2-3 CBLN2 LINC02306	estimable_validated	TRUE	22	834	available	226	172	54	2653
excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e33	fine_deg_pathway_contrast_manifest_v1	5	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	19824	46703	29	53	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	10428	164	NA	Excitatory_neurons	M_e33	Exc L2-3 CBLN2 LINC02306	estimable_validated	TRUE	23	804	available	2	1	1	164
excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e4	fine_deg_pathway_contrast_manifest_v1	6	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	15661	6766	27	10	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	10325	496	NA	Excitatory_neurons	M_e4	Exc L2-3 CBLN2 LINC02306	estimable_validated	TRUE	24	799	available	21	13	8	496
excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Female__e2	fine_deg_pathway_contrast_manifest_v1	1	excitatory_set2	Exc L3-4 RORB CUX2	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	2049	7715	8	16	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11871	1070	NA	Excitatory_neurons	F_e2	Exc L3-4 RORB CUX2	estimable_validated	TRUE	25	911	available	114	9	105	1070
excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Female__e33	fine_deg_pathway_contrast_manifest_v1	2	excitatory_set2	Exc L3-4 RORB CUX2	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	18264	20834	37	45	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	12076	449	NA	Excitatory_neurons	F_e33	Exc L3-4 RORB CUX2	estimable_validated	TRUE	26	922	available	31	18	13	449
excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Female__e4	fine_deg_pathway_contrast_manifest_v1	3	excitatory_set2	Exc L3-4 RORB CUX2	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	9664	4753	26	11	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	12373	720	NA	Excitatory_neurons	F_e4	Exc L3-4 RORB CUX2	estimable_validated	TRUE	27	935	available	39	37	2	720
excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Male__e2	fine_deg_pathway_contrast_manifest_v1	4	excitatory_set2	Exc L3-4 RORB CUX2	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	2069	3140	7	6	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	12118	3072	NA	Excitatory_neurons	M_e2	Exc L3-4 RORB CUX2	estimable_validated	TRUE	28	918	available	282	241	41	3072
excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Male__e33	fine_deg_pathway_contrast_manifest_v1	5	excitatory_set2	Exc L3-4 RORB CUX2	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	12039	30614	27	53	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11784	102	NA	Excitatory_neurons	M_e33	Exc L3-4 RORB CUX2	estimable_validated	TRUE	29	901	available	6	1	5	102
excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Male__e4	fine_deg_pathway_contrast_manifest_v1	6	excitatory_set2	Exc L3-4 RORB CUX2	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	11378	4290	27	10	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11793	702	NA	Excitatory_neurons	M_e4	Exc L3-4 RORB CUX2	estimable_validated	TRUE	30	891	available	28	10	18	702
excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Female__e2	fine_deg_pathway_contrast_manifest_v1	7	excitatory_set2	Exc L3-5 RORB PLCH1	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	519	1284	8	16	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	12276	383	NA	Excitatory_neurons	F_e2	Exc L3-5 RORB PLCH1	estimable_validated	TRUE	31	933	available	49	2	47	383
