schema_version	signature_group	sex	apoe_group	broad_cell_type	structural_contrast_count	source_deg_valid_count	cell_floor_pass_count	query_floor_pass_count	included_kda_call_count	calls_with_returned_drivers	returned_call_row_count	key_driver_count	singleton_key_driver_count	recurrent_key_driver_count	minimum_simple_aggregation_score	category_status
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e33	Male	e33	CAMs	1	1	1	0	0	0	0	0	0	0	NA	no_eligible_kda_calls
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e33	Male	e33	Excitatory_neurons	14	14	14	12	12	8	95	59	36	23	1.597706479795852e-15	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e33	Male	e33	Inhibitory_neurons	25	25	25	11	11	9	71	52	42	10	2.568112791981744e-21	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e33	Male	e33	Microglia	3	3	3	2	2	1	3	3	3	0	2.89504947951422e-07	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e33	Male	e33	OPCs	1	1	1	1	1	1	9	9	9	0	0.000466920726732561	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e33	Male	e33	Oligodendrocytes	1	1	1	1	1	0	0	0	0	0	NA	eligible_calls_no_key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e33	Male	e33	T_cells	1	1	1	0	0	0	0	0	0	0	NA	no_eligible_kda_calls
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e33	Male	e33	Vasculature_cells	5	5	5	1	1	1	8	8	8	0	3.60842837641789e-14	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e4	Male	e4	Astrocytes	3	3	3	3	3	2	17	14	11	3	5.357857476601893e-13	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e4	Male	e4	CAMs	1	1	1	0	0	0	0	0	0	0	NA	no_eligible_kda_calls
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e4	Male	e4	Excitatory_neurons	14	14	14	14	14	13	51	19	10	9	3.474191935854748e-21	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e4	Male	e4	Inhibitory_neurons	25	25	25	10	10	9	69	49	37	12	2.869833682382499e-07	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e4	Male	e4	Microglia	3	3	3	2	2	2	10	7	4	3	2.647729970669179e-18	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e4	Male	e4	OPCs	1	1	1	1	1	1	3	3	3	0	0.0314830010642938	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e4	Male	e4	Oligodendrocytes	1	1	1	1	1	0	0	0	0	0	NA	eligible_calls_no_key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e4	Male	e4	T_cells	1	1	1	0	0	0	0	0	0	0	NA	no_eligible_kda_calls
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e4	Male	e4	Vasculature_cells	5	5	5	0	0	0	0	0	0	0	NA	no_eligible_kda_calls
