AGRN	MAP4K2
SYNC	NLGN1-AS1
SYNC	AC084866.1
SYNC	LINC00513
SYNC	PRRG1
SYNC	AL158801.3
SYNC	SEPT4-AS1
SYNC	AC022154.1
YARS	IFNA13
YARS	CARS
YARS	MARS
YARS	SLC7A5
S100PBP	TTL
S100PBP	ANO7
S100PBP	CRTAP
S100PBP	AC117386.2
S100PBP	ZKSCAN1
S100PBP	AC027031.2
S100PBP	WDYHV1
S100PBP	SVIP
S100PBP	AL392046.1
S100PBP	TECPR2
S100PBP	PIGL
S100PBP	EDEM2
AL020995.1	AL117381.1
AL020995.1	AC008649.2
AZIN2	UNC93B1
AZIN2	SINHCAF
AL513327.1	AL117209.1
C1orf94	DCT
ZMYM1	ZNF502
ZMYM1	MPHOSPH6
SFPQ	SLC45A1
SFPQ	SELENOO
TFAP2E	AC092802.1
TFAP2E	LAP3
TFAP2E	PSD2
TFAP2E	CDH3
AGO1	AC021491.1
AL139286.2	SPRY3
CDCA8	EPHA10
C1orf122	FAM181B
C1orf122	GLRX5
AL139260.1	PLK3
AL139260.1	ANP32E
AL139260.1	SPTY2D1OS
RHBDL2	KLHL15
NDUFS5	MRPS21
NDUFS5	PCP4L1
NDUFS5	MLH1
NDUFS5	KIF9
NDUFS5	AL451048.1
AL033527.3	IBA57-DT
COL9A2	WNT9A
COL9A2	SEMA4G
RIMS3	TP53I11
HIVEP3	INPP5F
HIVEP3	WSCD1
HIVEP3	TANC2
HIVEP3	GNG7
CCDC30	CACNB4
CCDC30	UBA6-AS1
CCDC30	CCDC125
CCDC30	AC005833.2
CCDC30	CHAMP1
CCDC30	TMEM106A
CCDC30	LINC00158
TMEM125	TM7SF2
TMEM125	ROGDI
TMEM125	AC005726.1
ELOVL1	GM2A
ELOVL1	YKT6
ELOVL1	SCD
ELOVL1	SPATA2
SZT2	TGFBRAP1
SZT2	ZNF282
SZT2	ZNF610
PTPRF	SLC30A1
AL357079.1	AC099778.1
AL357079.1	PPP1R3E
ATP6V0B	BCAP31
ATP6V0B	ELP5
ATP6V0B	ASNA1
ATP6V0B	LINC00663
B4GALT2	TELO2
SLC6A9	NACC2
ERI3	AL033527.4
ERI3	EXO1
ERI3	AC010967.1
ERI3	DUSP2
ERI3	MGAT4A
ERI3	LINC01934
ERI3	MTMR14
ERI3	AC099753.1
ERI3	MSANTD1
ERI3	AC100849.1
ERI3	FABP5
ERI3	ZC3H3
ERI3	ALKBH8
ERI3	ANKRD16
ERI3	AIFM2
ERI3	VTI1A
ERI3	CLEC12A
ERI3	CRADD
ERI3	AL161757.5
ERI3	AC087286.2
ERI3	AC002310.5
ERI3	PSKH1
ERI3	ABCC3
ERI3	SNAI1
ERI3	PLEKHA4
ERI3	PKNOX1
RPS8	MPZ
RPS8	MT2A
RPS8	FBL
UROD	ARMCX2
TESK2	SLC35D2
TESK2	PLA2G4C
PRDX1	PSMB5
PRDX1	SDHAF1
AKR1A1	NEURL2
CCDC17	RDH16
TSPAN1	HIST1H3E
LURAP1	AL352984.1
ELAVL4	CAMK2B
ELAVL4	HTR2A
AC104170.2	AP001107.1
AC104170.2	ART4
OSBPL9	TMEM127
OSBPL9	MCUR1
OSBPL9	ALKBH4
OSBPL9	TRIQK
OSBPL9	ZNF438
OSBPL9	TMEM116
OSBPL9	KDM8
OSBPL9	PSME3
OSBPL9	LRFN3
LRP8	KCNAB3
TCEANC2	ZNF616
SSBP3	ABLIM2
SSBP3	GALNT8
SSBP3	RAB11FIP4
AC119674.2	FAM71D
PLPP3	CDK7
PLPP3	AAGAB
MYSM1	ZNF736
JUN	BTG2
LINC01135	MFSD4A
LINC01135	MSH2
LINC01135	LINC02062
LINC01135	SYNGAP1-AS1
LINC01135	Z84485.1
LINC01135	PTCD1
LINC01135	PLS3-AS1
LINC01135	ADGRA2
LINC01135	DRAM1
LINC01135	SRP14-AS1
LINC01358	EPHB1
C1orf87	FAM83E
KANK4	TNFRSF21
KANK4	LINC02343
ROR1-AS1	ROR1
AL139294.1	INKA2
AL139294.1	AC104699.1
AL139294.1	AC092839.1
AL139294.1	TACR1
AL139294.1	AC009951.2
AL139294.1	AC098617.1
AL139294.1	MKRN2OS
AL139294.1	ANKUB1
AL139294.1	SGMS2
AL139294.1	AC026704.1
AL139294.1	AC009542.1
AL139294.1	AC023590.1
AL139294.1	OMD
AL139294.1	AL157938.2
AL139294.1	BX255925.3
AL139294.1	APOA1-AS
AL139294.1	AL136298.1
AL139294.1	IGSF6
AL139294.1	AC007533.1
AL139294.1	AC091132.2
AL139294.1	SPINT2
AL139294.1	AL021707.1
PDE4B	NLGN1
PDE4B	RSPH3
PDE4B	DUSP16
PDE4B	AC007495.1
SLC35D1	FAM57A
SLC35D1	PFAS
LINC01707	LINC01192
AL158840.1	ZNF10
AL158840.1	AL512791.1
ZRANB2-AS1	AC008456.1
AL354949.1	AL021393.1
SLC44A5	AC073050.1
SLC44A5	LHFPL3
SLC44A5	PLEKHA5
ST6GALNAC3	AC097634.3
ST6GALNAC3	GALNT7
ST6GALNAC3	PREX2
ST6GALNAC3	GRIA4
ST6GALNAC3	GLCE
ST6GALNAC3	CDH8
ST6GALNAC3	ZNF521
AK5	CSRNP1
AK5	AL354809.1
FUBP1	PQLC2
FUBP1	EXO5
FUBP1	HNRNPU
FUBP1	CAPN10
FUBP1	PRRT3
FUBP1	PLEKHA8
FUBP1	IFT22
FUBP1	ZNF16
FUBP1	NEK8
GIPC2	JMJD4
GIPC2	C2orf69
GIPC2	DAP
GIPC2	SFXN2
GIPC2	KCNJ2-AS1
IFI44	PARP14
ADGRL2	DLGAP3
ADGRL2	CACHD1
ADGRL2	CDH10
ADGRL2	PLAGL1
ADGRL2	DLGAP2
ADGRL2	PIP5K1B
ADGRL2	PRICKLE1
ADGRL2	CHST11
AL359504.2	ZNF436-AS1
AL359504.2	AL033527.3
AL359504.2	AC079922.2
AL359504.2	CAHM
AL359504.2	PAXIP1-AS1
AL359504.2	AC093249.6
SPATA1	ACAP3
CLCA4	HSD17B4
AL049597.2	AC011472.1
LMO4	FLRT3
GBP2	BTN3A3
GBP2	ANXA2
GBP2	APOL3
LRRC8B	AC104170.1
LRRC8B	LCMT2
LRRC8C-DT	AC007038.2
LRRC8C-DT	AL080276.2
LRRC8C-DT	SBK1
AC099568.2	CCDC183-AS1
LRRC8D	RBM15B
LRRC8D	AC135507.1
LRRC8D	DHFR2
BRDT	LINC01206
EPHX4	STYK1
EPHX4	AC091138.1
RPL5	AP003108.2
TMED5	PPP1R15B
FNBP1L	AC120193.1
DPYD	LRRC8B
DPYD	DYSF
DPYD	GPNMB
DPYD	KIAA1324L
DPYD	MAGEC3
DPYD	GDF11
DPYD	PLTP
DPYD-AS1	SRGAP2-AS1
DPYD-AS1	AC017101.1
DPYD-AS1	AC004593.1
DPYD-AS1	AC116535.1
DPYD-AS1	AL157392.2
DPYD-AS1	SH3PXD2A-AS1
DPYD-AS1	PZP
DPYD-AS1	AC107031.1
DPYD-AS1	AF107885.2
DPYD-AS1	AC010503.1
MFSD14A	AC114316.2
MFSD14A	LINC00266-4P
RTCA-AS1	FO704657.1
RTCA-AS1	ZNF572
RTCA	CHMP6
AMY2B	PLEKHA7
AMY2B	FAM118B
AL355306.2	PLGLB2
AL355306.2	AC112493.1
AL355306.2	VPS33B-DT
AKNAD1	BLM
CELSR2	SHROOM1
CELSR2	AL023284.4
CELSR2	ZNF490
SORT1	AL592295.3
SORT1	TCOF1
SORT1	L3MBTL3
SORT1	COX19
SORT1	HBP1
SORT1	SGK3
SORT1	TMEM273
SORT1	CCNJ
SORT1	ESYT1
SORT1	AC090907.2
SORT1	ZCCHC2
SORT1	ZNF57
SORT1	FP565260.2
CYB561D1	MED9
AL355310.3	AC000068.1
CSF1	AL353604.1
CSF1	KHNYN
SLC6A17	SYT12
AL355488.1	AL031775.1
LAMTOR5	SNRPB2
LAMTOR5	DMAC2
AL365361.1	CARMIL3
CHI3L2	OCM
CHI3L2	COLCA2
ATP5PB	ID3
ATP5PB	DTD1
TMIGD3	LINC01445
INKA2	AL133255.1
KCND3	LINC01750
LINC01356	C17orf78
AL390729.1	KLHL26
SLC16A1-AS1	KIF9-AS1
SLC16A1-AS1	TFAM
SLC16A1-AS1	AC009061.2
SLC16A1-AS1	DCAKD
SLC16A1-AS1	MAN2B1
HIPK1-AS1	Z97055.2
NRAS	GTF3C4
SLC22A15	C3orf20
SLC22A15	FLRT1
GDAP2	ZSCAN20
GDAP2	ZNF225
PHGDH	TMEM54
AC244021.1	LINC01632
AC246785.3	AC004854.2
AC246785.3	AC068775.1
POLR3C	ZNF786
NUDT17	AC069234.1
RBM8A	FAM199X
RBM8A	YJU2
NBPF12	GPR89A
FMO5	AL513211.1
NBPF11	NBPF12
AC239809.3	AC007285.1
PDE4DIP	AC245297.3
AC245297.3	NBPF26
AC245297.3	AC245297.2
NBPF19	NBPF14
HIST2H2BF	ARRDC3
HIST2H2BE	SELL
HIST2H2BE	HMGB2
SV2A	AC093835.1
CA14	COL9A2
MRPS21	TMEM14A
MRPS21	AL078639.1
MRPS21	DCTPP1
MCL1	NES
ENSA	BUB1
ENSA	PPIL1
ENSA	AP003469.4
GOLPH3L	HARBI1
CERS2	CRTC2
CERS2	TTC32
CERS2	DUSP7
CERS2	CLDND1
CERS2	SFT2D1
CERS2	SBDS
CERS2	BBS10
CERS2	LAMP1
MLLT11	TPBG
MLLT11	KCNC1
GABPB2	RNF19B
GABPB2	PUS1
GABPB2	AC087500.1
PIP5K1A	ACBD3
PIP5K1A	TSEN2
PIP5K1A	METTL2B
PIP5K1A	IPPK
PIP5K1A	NEU3
PIP5K1A	GPATCH1
PSMB4	CTSA
MRPL9	AC008393.1
S100A6	FBXO2
S100A6	DNAJC27-AS1
S100A6	AC055713.1
S100A13	S100A1
AL162258.2	AC090809.1
SNAPIN	AL162497.1
SNAPIN	AC116407.2
ILF2	MRPS18B
ILF2	SLC39A7
ILF2	PIGO
ILF2	HSPA2
INTS3	TTC30B
INTS3	RRAD
INTS3	AC142472.1
INTS3	ZNF575
CRTC2	AC120053.1
JTB	HTRA2
RPS27	TTC31
RPS27	ARMC9
RPS27	LINC02341
NUP210L	MORC4
NUP210L	C9orf84
NUP210L	SLC47A2
HAX1	IQCC
HAX1	DALRD3
HAX1	AC124016.1
HAX1	AL133338.1
HAX1	FAM200A
HAX1	GLA
HAX1	AC100810.1
HAX1	AC016065.1
HAX1	SRPRA
HAX1	HDDC3
HAX1	AC012184.2
HAX1	SLC2A11
IL6R	GPR155
IL6R	ALAS1
IL6R	TPST1
IL6R	MIDN
CHRNB2	DPP10-AS1
CHRNB2	ANOS1
CHRNB2	AC138647.1
CHRNB2	KCNK4
CHRNB2	PWWP2B
CHRNB2	SPRN
PMVK	KCTD9
PYGO2	PPIL6
PYGO2	TESK1
DCST1	AL121987.2
DCST1	AC104653.1
DCST1	XKRX
DCST1	AC005258.1
EFNA1	LINC02482
FAM189B	SYT3
SCAMP3	CYB5R1
SCAMP3	RGL2
SCAMP3	ARFIP2
FDPS	SNAI3-AS1
FDPS	FASN
SSR2	CDK4
LMNA	OGFR
PAQR6	HERC5
PAQR6	IZUMO4
TMEM79	INO80E
GLMP	AC092117.1
CCT3	HSPE1
CCT3	HERC6
CCT3	AK6
CCT3	CD2AP
CCT3	MMS22L
CCT3	RP9
CCT3	HINFP
CCT3	CLYBL
C1orf61	TSNAX-DISC1
C1orf61	ISY1-RAB43
NAXE	BOLA1
NAXE	AVPI1
HAPLN2	SCAMP4
MRPL24	RNF227
PYHIN1	AC010197.1
CADM3	SH2D5
CADM3	CAMK1G
CADM3	TMEM158
CADM3	SLITRK3
CADM3	PRSS3
CADM3	FAM69B
CADM3	CNIH2
CADM3	NGB
CADM3	NR2F2
CADM3	CORO1A
CADM3	NEUROD2
CADM3	KCNS1
CADM3	KCNJ4
ACKR1	AL355472.4
KCNJ10	CAVIN1
ATP1A2	FGFR3
ATP1A2	GJA1
ATP1A2	SLC1A2
ATP1A2	AQP4
CASQ1	RET
CASQ1	DOC2B
AL121987.2	ZNF296
PEA15	DHCR24
PEA15	NCSTN
PEA15	SDCBP
PEA15	CDKN1C
PEA15	FNTB
PEA15	PPP1R9B
PEA15	ANKRD40
PEA15	AC006538.2
PEA15	PNPLA6
DCAF8	BAP1
DCAF8	ACADS
DCAF8	VASH1-AS1
DCAF8	Z69706.1
DCAF8	LMF2
AL139011.2	CEL
NCSTN	ZMYM3
NCSTN	MYLPF
NCSTN	ARRDC2
F11R	AL591806.3
PFDN2	ASB1
PFDN2	RTL5
PFDN2	ERG28
PFDN2	LINC02177
PFDN2	MAPK7
PFDN2	KPNA2
UFC1	CSTF2
ADAMTS4	B4GALT2
ADAMTS4	FAM214B
ADAMTS4	FBXO7
NDUFS2	CCDC17
NDUFS2	PIDD1
NDUFS2	FLII
NDUFS2	ZNF578
HSPA6	TEX14
HSPA6	AC022144.1
FCRLB	C7orf77
FCRLB	AC011825.2
HSD17B7	ZNF213-AS1
RGS4	HOPX
RGS4	CTXN1
AL451050.2	ZNF79
ADCY10	AC130456.3
SELL	C1orf112
SELE	AL031430.1
SELE	LINC01707
SELE	CHI3L2
SELE	F11R
SELE	RHEX
SELE	TRIM58
SELE	KYNU
SELE	ACPP
SELE	KCNMB2
SELE	HPGD
SELE	PCDHB9
SELE	FGF18
SELE	GRM4
SELE	AL512658.1
SELE	AC007091.1
SELE	TRGC2
SELE	KPNA7
SELE	TFEC
SELE	AC004889.1
SELE	RS1
SELE	AL606516.1
SELE	CACNA1F
SELE	TNFRSF10A
SELE	AC022915.2
SELE	LINC01111
SELE	ESRP1
SELE	AC068413.1
SELE	TG
SELE	SLA
SELE	AL845472.1
SELE	CR769775.2
SELE	FGD3
SELE	CFAP77
SELE	KCNJ11
SELE	AHNAK
SELE	AP003066.1
SELE	AL356157.1
SELE	RBM20
SELE	EEF1AKMT2
SELE	DYRK4
SELE	GPRC5D
SELE	AC023794.1
SELE	AC004551.1
SELE	AL121852.1
SELE	WDR72
SELE	FOXB1
SELE	AC027237.2
SELE	LINC00670
SELE	IKZF3
SELE	AC021504.1
SELE	AL035420.1
SELE	ACER1
SELE	PRODH
SCYL3	AC055855.1
PRRC2C	UBE2F-SCLY
PRRC2C	ADIRF
PRRC2C	DNAH2
PIGC	SRSF7
PIGC	SPART-AS1
ZBTB37	DFFB
ZBTB37	TSC22D2
ZBTB37	ACTR3C
ZBTB37	RBM12B
ZBTB37	SLC22A6
ZBTB37	RAB11FIP2
ZBTB37	SACS
ZBTB37	NAGPA
ZBTB37	AC040934.1
ZBTB37	LINC01429
ZBTB37	AL122058.1
ZBTB37	AL121832.2
ZBTB37	ZNF283
ZBTB37	JOSD1
CACYBP	CCT3
CACYBP	THUMPD3-AS1
CACYBP	ANKRD37
CACYBP	CCT5
CACYBP	TCP1
CACYBP	LINC00265
CACYBP	CDC26
CACYBP	NAA40
CACYBP	PCBD1
CACYBP	EIF5
CACYBP	DEDD2
CACYBP	PIGP
TNR	PID1
TNR	VCAN
PAPPA2	AC069114.1
BRINP2	SYT16
AL122019.1	SPATA17
RASAL2	MSRA
AL359853.2	HRASLS2
AL359853.2	TGM1
AL353708.3	AL451050.2
AL353708.3	AC139795.3
AL353708.3	GCK
AL353708.3	SMC2-AS1
AL353708.3	AC034102.5
AL353708.3	AC012615.1
AL353708.3	AC020910.4
STX6	KIAA1614
STX6	AL162431.2
GLUL	AL603839.3
GLUL	AL592166.1
GLUL	FAM84B
SHCBP1L	C17orf53
ARPC5	PHAX
ARPC5	TRAPPC2
ARPC5	ZNF157
ARPC5	BHLHE41
RGL1	CDYL
RGL1	PTPN12
RGL1	DACH2
TSEN15	AC092835.1
TSEN15	GPR27
TSEN15	TIAM2
TSEN15	ZDHHC2
TSEN15	PURG
TSEN15	AL391987.2
TSEN15	SOCS4
TSEN15	AC007614.1
TSEN15	AC027307.3
C1orf21	CDK14
PLA2G4A	ADAM28
ERVMER61-1	LINC01798
ERVMER61-1	ACOXL
ERVMER61-1	THSD7B
ERVMER61-1	CLNK
ERVMER61-1	LINC02267
ERVMER61-1	AC107463.1
ERVMER61-1	S100Z
ERVMER61-1	FBN2
ERVMER61-1	PKHD1
ERVMER61-1	GABRR1
ERVMER61-1	AL591518.1
ERVMER61-1	ZAN
ERVMER61-1	SHROOM2
ERVMER61-1	AL592043.1
ERVMER61-1	DIAPH2-AS1
ERVMER61-1	Z96074.1
ERVMER61-1	EYA1
ERVMER61-1	AC046195.1
ERVMER61-1	ADAMTSL1
ERVMER61-1	LINC01242
ERVMER61-1	AL845311.1
ERVMER61-1	MALRD1
ERVMER61-1	MYO3A
ERVMER61-1	AC068898.1
ERVMER61-1	AC007529.2
ERVMER61-1	C12orf40
ERVMER61-1	HMGA2
ERVMER61-1	LINC00393
ERVMER61-1	SLC7A7
ERVMER61-1	C15orf53
ERVMER61-1	AGBL1
ERVMER61-1	CFAP52
ERVMER61-1	AC005291.2
ERVMER61-1	SULT2B1
ERVMER61-1	MYO18B
AL390957.1	AL159163.1
AL390957.1	AP003063.1
RGS1	TLR2
RGS1	SRGN
AL136454.1	PPM1G
AL136454.1	RPL18A
KCNT2	NPM2
ZBTB41	MOB1A
ZBTB41	ZNF92
ZBTB41	ASB16-AS1
ZBTB41	ZNF780A
DENND1B	TLL1
DENND1B	RIPOR2
DENND1B	COL9A1
DENND1B	GABRA3
DENND1B	ZNF71
PTPRC	ZFP36L1
MIR181A1HG	KCNJ9
MIR181A1HG	CROT
MIR181A1HG	SLC22A18
MIR181A1HG	RCBTB1
MIR181A1HG	HMSD
LINC01221	AJ006995.1
LINC00862	CD247
LINC00862	AC104461.1
LINC00862	CHST10
LINC00862	CTDSP1
LINC00862	APEH
LINC00862	USP46-AS1
LINC00862	B4GALT7
LINC00862	ECT2L
LINC00862	SLC7A2
LINC00862	CCDC59
LINC00862	AC110597.1
LINC00862	AP5S1
LINC00862	SAFB2
LINC00862	LINC01549
AC104461.1	TCTE3
AC104461.1	AL359397.2
ZNF281	BRINP2
ZNF281	FKBP7
ZNF281	LINC02197
ZNF281	FAM184A
ZNF281	TBXAS1
ZNF281	LINC00893
ZNF281	BUB3
ZNF281	EME2
ZNF281	ZNF24
ZNF281	C19orf71
PHLDA3	NKX6-2
PHLDA3	MYO5C
CSRP1	ANXA5
CSRP1	VAT1
IPO9-AS1	AL031428.1
IPO9-AS1	AL109936.6
IPO9-AS1	LINC01389
IPO9-AS1	GNG12-AS1
IPO9-AS1	AL360091.3
IPO9-AS1	KIF26B-AS1
IPO9-AS1	RAPH1
IPO9-AS1	AC020651.1
IPO9-AS1	CFAP100
IPO9-AS1	AC008937.2
IPO9-AS1	AC112196.1
IPO9-AS1	PCDH12
IPO9-AS1	APOBEC2
IPO9-AS1	SLC26A5
IPO9-AS1	NDP-AS1
IPO9-AS1	AC104316.1
IPO9-AS1	AL354989.1
IPO9-AS1	GNA14-AS1
IPO9-AS1	AP002892.1
IPO9-AS1	ITIH2
IPO9-AS1	FAM196A
IPO9-AS1	TEX52
IPO9-AS1	AC023051.1
IPO9-AS1	CCDC65
IPO9-AS1	AC078778.1
IPO9-AS1	AC025165.2
IPO9-AS1	AC020611.2
IPO9-AS1	ARG2
IPO9-AS1	LINC02345
IPO9-AS1	LINC01195
IPO9-AS1	AC109597.1
IPO9-AS1	AC007495.2
IPO9-AS1	AC009097.1
IPO9-AS1	TOM1L1
IPO9-AS1	MARCH10
IPO9-AS1	TCF4-AS1
IPO9-AS1	AC009704.1
IPO9-AS1	ELAVL3
IPO9-AS1	USHBP1
IPO9-AS1	ZNF565
IPO9-AS1	AC008537.4
SHISA4	APH1A
TIMM17A	LINC02373
PTPN7	AL358472.5
PTPN7	DNAJC21
LGR6	ZNF732
LGR6	LINC02355
LGR6	GDPD4
LGR6	TUBB8
LGR6	AC087482.1
LGR6	AC021683.3
LGR6	LINC01684
UBE2T	CCNB1
PPP1R12B	FCRLA
PPP1R12B	MEIS1
PPP1R12B	PKP4
PPP1R12B	FAM241A
PPP1R12B	SAMD12
PPP1R12B	AL121820.2
PPP1R12B	UBAP1L
PPP1R12B	SH3GL3
PPP1R12B	AC092378.1
PPP1R12B	ADAMTS18
ADORA1	SLC13A3
CHI3L1	ZFP36L1
ATP2B4	PRICKLE2
SNRPE	NDUFAF1
ETNK2	PABPC1L2B
PLEKHA6	IL17RD
PLEKHA6	RADIL
PIK3C2B	AC112484.3
PIK3C2B	FAM104B
PIK3C2B	SEMA4D
PIK3C2B	FRMD4A
PIK3C2B	TMC7
PIK3C2B	HID1
PIK3C2B	MN1
PIK3C2B	SEC14L2
PIK3C2B	SREBF2
NFASC	LIPH
NFASC	RPL39L
NFASC	VSTM5
NFASC	ZBTB16
NFASC	AC100793.3
NFASC	PHF21B
TMEM81	ERAS
TMCC2	ZNF154
CDK18	LLGL2
RAB7B	LINC01748
RAB7B	HLX-AS1
RAB7B	RASGRF2-AS1
RAB7B	MUM1L1
RHEX	LINC01708
RHEX	AC018554.1
RHEX	HS3ST3B1
RHEX	AC087289.5
RHEX	KCNN4
AL596218.1	NAALADL2-AS2
AL596218.1	AC008591.1
AL596218.1	AP000753.2
AL596218.1	Z82217.1
CR1	AL137789.1
CR1L	SLC30A8
MIR29B2CHG	MMP15
PLXNA2	PLXDC1
G0S2	PFKFB2
G0S2	CCNJL
G0S2	LINC00237
HSD11B1	PARD3B
HSD11B1	ITM2A
SERTAD4-AS1	SERTAD4
HHAT	SYT14
LINC00467	AC004865.2
LINC00467	NDST1-AS1
LINC00467	ZNF311
LPGAT1	AL354919.1
LPGAT1	NEMP2
LPGAT1	NABP1
LPGAT1	KLHL5
LPGAT1	ZGRF1
LPGAT1	OSMR-AS1
LPGAT1	RECQL
LPGAT1	AC087241.3
LPGAT1	AL442128.2
LPGAT1	AC002310.1
LPGAT1	TJP3
LPGAT1	MBD3L1
AL445488.1	AC005304.1
INTS7	ZNF613
NENF	SEMA3B-AS1
NENF	TPPP3
NENF	FAM98C
NENF	A1BG
LINC00538	FNDC7
LINC00538	AL132996.1
USH2A	LINC01194
ESRRG	LRP1B
GPATCH2	NIT2
GPATCH2	QTRT2
GPATCH2	VSX1
SLC30A10	GOLGA6L9
MARK1	NLGN4X
LINC02257	AL354732.1
LINC02257	AC093512.2
AL513314.2	NBPF12
DEGS1	KHK
DEGS1	C11orf71
CNIH3	LINC02427
CNIH3	RRM1
AC099066.2	ADAMTS20
EPHX1	CACNA1D
AL591895.1	TAGLN
AL591895.1	STAC3
AL591895.1	ARHGAP27
AL591895.1	CD22
AL591895.1	AP001605.1
TMEM63A	ATG2A
LINC01703	AC023421.2
LINC01703	RDH13
ACBD3	TAF5
ITPKB-AS1	RGS17
ITPKB-AS1	RMC1
ZNF678	LRRC8C-DT
ZNF678	YEATS4
ZNF678	RGMA
ZNF678	ZNF66
ZNF678	ZNF681
MRPL55	ZNF35
GUK1	B4GALT3
GUK1	ZFAND2B
GUK1	MRPL41
GUK1	AC127024.5
GJC2	ADAP1
GJC2	SLC9A3R1
RNF187	TPRG1L
