AGRN	PLEC
ATP6V0B	CNIH2
ATP6V0B	GLRX5
ATP6V0B	COPRS
ATP6V0B	MRPL4
ATP6V0B	TMEM59L
AL139220.2	NCAN
RPS8	TCEAL5
RPS8	PLPBP
RPS8	POLE3
RPS8	RSL1D1
RPS8	PDRG1
BTBD19	ZNF268
UROD	GLMP
LINC01144	AC008649.2
PRDX1	MARCKSL1
PRDX1	PHGDH
PRDX1	CCDC121
PRDX1	UBB
PRDX1	ALKBH7
PRDX1	SELENOW
AL358075.4	AC092813.1
AL358075.4	IDO2
AL358075.4	AC023762.1
AL358075.4	GRTP1-AS1
AL358075.4	LINGO1-AS1
AL358075.4	AC139530.3
AL358075.4	AC092364.1
CYP4A22-AS1	KLF17
AGBL4	ULK4
AGBL4	DNAH12
AGBL4	PRDM5
AGBL4	C5orf51
AGBL4	CENPQ
AGBL4	ADAT2
AGBL4	LRRC6
AGBL4	LETMD1
AGBL4	CLYBL
AGBL4	DPH6
AGBL4	EFCAB6
AL596275.2	DEUP1
LRP8	WDR66
TTC4	ENDOD1
PLPP3	CCDC18
PLPP3	GREB1
PLPP3	AC078785.1
PLPP3	SLC7A1
DAB1-AS1	ASCL5
DAB1-AS1	SMAD1-AS2
DAB1-AS1	AC011853.2
DAB1-AS1	AC022903.1
JUN	NES
JUN	KLF6
JUN	TRIM47
JUN	P2RX6
LINC01135	SUCLG2-AS1
LINC01135	DICER1-AS1
LINC01135	AL354824.1
C1orf87	IFNLR1
C1orf87	LINC01707
C1orf87	NUDT4B
C1orf87	CASQ1
C1orf87	LINC01804
C1orf87	EFEMP1
C1orf87	ST3GAL5-AS1
C1orf87	AC012510.1
C1orf87	ACOX2
C1orf87	LINC02054
C1orf87	TEC
C1orf87	AC110751.1
C1orf87	LINC02233
C1orf87	AC114321.1
C1orf87	KIFC1
C1orf87	AL365226.1
C1orf87	GJB7
C1orf87	AL355297.3
C1orf87	TFEC
C1orf87	AL591501.1
C1orf87	SUV39H1
C1orf87	TKTL1
C1orf87	AC022730.4
C1orf87	AL354707.1
C1orf87	AL513165.1
C1orf87	B3GNT10
C1orf87	AGPAT2
C1orf87	OR9Q1
C1orf87	CDC42EP2
C1orf87	MRLN
C1orf87	AC140847.2
C1orf87	LINC02450
C1orf87	SMAGP
C1orf87	AC122685.1
C1orf87	AC131009.2
C1orf87	CDKN3
C1orf87	SMAD6
C1orf87	RPP25
C1orf87	AC013565.1
C1orf87	NR2F2
C1orf87	HBA2
C1orf87	Z69706.1
C1orf87	TMEM114
C1orf87	NUPR1
C1orf87	LINC01568
C1orf87	OR3A3
C1orf87	INCA1
C1orf87	AC005695.1
C1orf87	SLC5A10
C1orf87	AC130324.1
C1orf87	TBC1D3L
C1orf87	IGFBP4
C1orf87	MPO
C1orf87	AC046185.1
C1orf87	CASC17
C1orf87	SPTLC3
C1orf87	INSM1
C1orf87	LINC01431
C1orf87	LBP
C1orf87	SDC4
C1orf87	AC005808.1
C1orf87	JSRP1
C1orf87	AC073534.2
C1orf87	HPN-AS1
C1orf87	ZNF296
C1orf87	ZNF600
C1orf87	SHISAL1
C1orf87	PRR5
LINC01748	AC099792.1
AC099791.2	PABPC5
AL139294.1	AC093305.1
AL139294.1	AL021368.2
AL139294.1	FP325318.1
LEPR	DUBR
LEPR	LYRM2
LEPR	AL732314.6
LEPR	TPH1
LEPR	OLMALINC
LEPR	DRAIC
LEPR	PRR22
LEPR	ZNF497
IL12RB2	NACC1
GADD45A	LINC01170
GADD45A	LFNG
GADD45A	ARC
GADD45A	AL157400.3
GADD45A	IDH3A
GADD45A	EMP2
GADD45A	PMP22
GADD45A	SERPINB8
WLS	DIRAS3
WLS	RUNDC3B
WLS	UNC5B
AL158840.1	AC131953.1
AL354872.2	HTRA3
AL354872.2	AL049870.2
ZRANB2-AS1	AP002075.1
ZRANB2-AS1	AL354733.3
AL354949.1	AC069224.1
FPGT-TNNI3K	FRRS1
FPGT-TNNI3K	FITM1
AC093158.1	ERCC6L
AC093158.1	AC136624.2
AC093158.1	SLC14A2
LRRC53	ELOVL2-AS1
LRRC53	PLG
LRRC53	PCOLCE-AS1
LRRC53	AC074386.1
LRRC53	AC024896.1
LRRC53	AC091117.2
ST6GALNAC5	DLGAP2
ST6GALNAC5	SLC8A2
AL035409.1	AC096677.1
ADGRL2	EPHA3
ADGRL2	SIDT1
ADGRL2	DNAH2
AL359504.2	AC009812.1
RPF1	ZNF184
CYR61	TNFRSF14
LINC01364	ZNF724
GBP2	ATAD3C
GBP2	RPS6KA1
GBP2	GBP1
GBP2	THEGL
GBP2	NPNT
GBP2	AC115622.1
GBP2	PCDHB11
GBP2	ST8SIA6
GBP2	TEAD4
GBP2	GNPNAT1
GBP2	SLC35F4
GBP2	TNFRSF12A
GBP2	HIC1
GBP2	AL121760.1
GBP2	BCL3
LRRC8D	MYADM
TGFBR3	SLC44A3
RPL5	PAQR3
TMED5	CDC26
ABCA4	AL157904.1
ABCA4	AC246785.3
ABCA4	AL451050.2
ABCA4	RAD51AP2
ABCA4	AC010096.1
ABCA4	AC009313.1
ABCA4	CASP10
ABCA4	AC137630.1
ABCA4	TRAIP
ABCA4	AC104078.2
ABCA4	RAD50
ABCA4	AC091563.1
ABCA4	SYK
ABCA4	AP004609.3
ABCA4	SLC5A2
ABCA4	AC090618.1
ABCA4	TJP3
ABCA4	AC005523.1
ABCA4	C5AR1
ABCA4	RRAS
ABCA4	ITGB2
AC095033.1	AC124045.1
AC095033.1	FBXO40
AC092802.2	AC048380.1
DPYD	MIR137HG
MIR137HG	LINC01776
AL589990.1	AL731566.1
AL589990.1	AL355922.5
AL589990.1	SLA2
AC093157.1	AC084816.1
LINC01709	AC079148.1
LINC01709	AC099560.1
LINC01709	AC121764.1
LINC01709	OTOP1
LINC01709	ROPN1L
LINC01709	EMB
LINC01709	AC011396.2
LINC01709	LINC01951
LINC01709	BMP6
LINC01709	SAPCD1-AS1
LINC01709	LINC02526
LINC01709	AC138647.1
LINC01709	AP002347.1
LINC01709	GUCY2C
LINC01709	AC078929.1
LINC01709	PXMP2
LINC01709	SLC7A7
LINC01709	AC020659.2
LINC01709	AC145285.3
LINC01709	MLKL
LINC01709	AC021683.2
LINC01709	TMC8
LINC01709	DSC1
LINC01709	AL022328.3
OLFM3	MOB1A
AC114485.1	AC074117.1
AC114485.1	CNGB3
LINC01677	NOP14-AS1
LINC01677	AC011978.2
LINC01677	MRPL45
LINC01677	ZNF773
VAV3-AS1	EGF
VAV3-AS1	AL513164.1
C1orf194	ID3
PSRC1	AC009831.1
GPR61	AC024575.1
AMPD2	SLC4A2
AMPD2	IL11RA
AMPD2	FIZ1
AMPD2	U2AF2
AMPD2	RASD2
GSTM5	LINC01768
AHCYL1	MTHFD2
AHCYL1	PTH2R
LAMTOR5	ANKRD34A
LAMTOR5	CCDC115
LAMTOR5	SCRG1
LAMTOR5	LMAN2
LAMTOR5	NHP2
LAMTOR5	MRPL50
LAMTOR5	MMP2
AL355816.2	AL590822.2
AL355816.2	CA6
AL355816.2	MCOLN2
AL355816.2	LINC01709
AL355816.2	C1orf194
AL355816.2	AC239803.3
AL355816.2	SH2D1B
AL355816.2	AL353708.1
AL355816.2	AC005034.4
AL355816.2	IL1RL2
AL355816.2	DYTN
AL355816.2	COL6A3
AL355816.2	RBMS3-AS1
AL355816.2	STAC
AL355816.2	AC104435.2
AL355816.2	TMPRSS7
AL355816.2	ROPN1B
AL355816.2	AC016252.1
AL355816.2	NAALADL2-AS1
AL355816.2	AC107294.1
AL355816.2	AC092966.1
AL355816.2	NCAPG
AL355816.2	LINC02506
AL355816.2	SNCA-AS1
AL355816.2	AC019131.2
AL355816.2	AC095050.1
AL355816.2	AC027627.1
AL355816.2	NKD2
AL355816.2	LINC02211
AL355816.2	MED7
AL355816.2	DRD1
AL355816.2	GCM2
AL355816.2	AL158198.1
AL355816.2	HLA-DMB
AL355816.2	KCNK5
AL355816.2	AL353588.1
AL355816.2	GLYATL3
AL355816.2	AC008080.1
AL355816.2	TRIM50
AL355816.2	AC004946.1
AL355816.2	Z69733.1
AL355816.2	GUCY2F
AL355816.2	NUGGC
AL355816.2	LINC00589
AL355816.2	AC138356.1
AL355816.2	AC090735.1
AL355816.2	SLC7A13
AL355816.2	COLEC10
AL355816.2	IL33
AL355816.2	DNAJC25-GNG10
AL355816.2	ZBTB34
AL355816.2	BX649632.1
AL355816.2	MUC6
AL355816.2	MMP3
AL355816.2	IL2RA
AL355816.2	ADIRF
AL355816.2	ITGA5
AL355816.2	AC024941.2
AL355816.2	CEP83-DT
AL355816.2	CLIP1-AS1
AL355816.2	AC026333.4
AL355816.2	AL160035.1
AL355816.2	AL138690.1
AL355816.2	AL356580.1
AL355816.2	CFAP97D2
AL355816.2	AL049775.2
AL355816.2	ZBTB42
AL355816.2	LIPC
AL355816.2	LINC01169
AL355816.2	KIF23
AL355816.2	SLC28A1
AL355816.2	MYOCD
AL355816.2	AC005726.4
AL355816.2	PSTPIP2
AL355816.2	MATN4
AL355816.2	CD40
AL355816.2	LINC01440
AL355816.2	CYP4F12
AL355816.2	AC008738.4
AL355816.2	IGFLR1
AL355816.2	CLC
AL355816.2	TEX101
AL355816.2	LINC01864
AL355816.2	AC012313.8
AL355816.2	CPT1B
AL355816.2	CU638689.4
AL355816.2	AP001464.1
AL355816.2	LINC01424
DENND2D	BST1
CHI3L2	AC245407.2
CHI3L2	AC104472.3
CHI3L2	EEF1AKMT4-ECE2
CHI3L2	AC008572.1
CHI3L2	AC005355.1
CHI3L2	LY6G5C
CHI3L2	ABHD16A
CHI3L2	SLC26A4-AS1
CHI3L2	AL691447.2
CHI3L2	AC026367.3
CHI3L2	ENO3
CHI3L2	AC104984.2
CHI3L2	WFDC10B
CHI3L2	KANK3
CHI3L2	LINC01534
CHI3L2	AC011455.2
TMIGD3	KCNMB3
TMIGD3	THEMIS
TMIGD3	C16orf74
TMIGD3	NOTCH3
RHOC	PREB
RHOC	PNPLA7
AL137856.1	C1orf195
AL137856.1	G6PC2
AL137856.1	AC112719.2
AL137856.1	AL133216.1
AL137856.1	LINC02370
AL137856.1	AC018529.1
SYCP1	MTAP
SYCP1	BIN2
SYCP1	PABPC3
CASQ2	CA14
CASQ2	AC092687.1
CASQ2	ZFP57
CASQ2	PDLIM1
CASQ2	GDF15
CASQ2	BHMG1
AL365318.1	OAZ3
AL365318.1	AL713999.1
AL365318.1	MIR217HG
AL365318.1	RSPO3
AL365318.1	C6orf99
AL365318.1	FAM221B
AL365318.1	AP001107.1
AL365318.1	AP003170.3
AL365318.1	CCNA1
AL365318.1	LCMT1-AS2
AL365318.1	AC134312.4
AL365318.1	AC008133.1
AL365318.1	PRCD
AL365318.1	AP000919.3
AL365318.1	AC008537.2
AL365318.1	LINC01315
MAB21L3	TRPC4
AL157904.1	ZNF239
TENT5C	AC012464.3
FAM72B	ARHGEF16
FAM72B	AC097724.1
FAM72B	AC015982.1
FAM72B	GALNT5
FAM72B	LINC01967
FAM72B	AC069257.3
FAM72B	AC093772.1
FAM72B	AC122694.1
FAM72B	AL390208.1
FAM72B	AC072061.1
FAM72B	AC005009.2
FAM72B	AC073486.1
FAM72B	OPLAH
FAM72B	SLC5A12
FAM72B	AL137145.1
FAM72B	OIT3
FAM72B	AC078927.1
FAM72B	AC020892.1
FAM72B	ISLR2
FAM72B	AP005328.2
FAM72B	AP001496.2
FAM72B	FAM71E1
FAM72B	AC007228.2
AC245014.1	MRPL39
POLR3C	C16orf70
RBM8A	CNNM3
RBM8A	ATF4
TXNIP	NMNAT1
HJV	AC016710.1
HJV	KYNU
HJV	LAMP3
HJV	HINT3
HJV	AC083880.1
HJV	LINC01606
HJV	LINC00588
HJV	AP000880.1
HJV	AL137786.1
HJV	KIF22
HJV	AC007785.3
AC239803.2	FAM131C
AC239803.2	IRGM
AC239803.2	ZNF467
AC239803.2	LINC02288
AC239803.2	AL359237.1
AC239803.2	AC011990.1
AC239803.2	ZNF837
AC239803.3	AC083843.3
LINC01731	AC010501.1
NUDT4B	DCHS1
AC239802.2	AC109811.1
AC239802.2	AC068643.2
AC239802.2	AL118558.3
AC239802.2	AC036103.1
AC239802.2	SWSAP1
AC239802.2	NOP53-AS1
NBPF19	LYSMD4
AC239868.2	CLN6
SF3B4	TPGS1
CA14	GNL2
CA14	CENPF
CA14	AC097460.1
MRPS21	CCDC51
MRPS21	TCTA
MRPS21	SRSF2
MRPS21	RANBP3
MRPS21	FBXL12
MRPS21	SH3BGR
MRPS21	C21orf2
FALEC	AL359643.2
CTXND2	AC092167.1
CTXND2	SMC1A
CTXND2	FER1L6-AS2
CTXND2	SMC2-AS1
CTXND2	LINC02384
CTXND2	AL135999.1
CTXND2	AC106886.3
CTXND2	ZNF426-DT
ANXA9	ADAMTSL4
ANXA9	HDAC11-AS1
ANXA9	AC110491.3
ANXA9	CXorf36
ANXA9	PNMA6F
ANXA9	MEP1B
ANXA9	MMP11
SCNM1	IPO11
RIIAD1	C1orf167
OAZ3	GLYATL3
HRNR	AC092068.1
S100A6	S100A10
S100A6	PAICS
S100A6	AC093673.1
S100A6	WHAMM
S100A16	VWA1
S100A16	PSMB2
S100A16	DNAJC27-AS1
S100A16	FNDC4
S100A16	RBP1
S100A16	FJX1
S100A16	MISP3
S100A1	S100A13
SNAPIN	SMYD4
SNAPIN	AC008403.3
ILF2	PSMD3
AL358472.4	AL359881.3
JTB	ACHE
JTB	LRWD1
JTB	LRP10
JTB	RNFT1
JTB	LSM7
JTB	C19orf66
JTB	SNRPA
RPS27	AC004053.1
RPS27	AC018618.1
NUP210L	ZNF20
C1orf189	SLC22A13
HAX1	CYP2R1
IL6R-AS1	NUP50
IL6R	AC083798.2
IL6R	NT5E
IL6R	ZNF658
SHE	C1RL-AS1
TDRD10	AC010531.3
KCNN3	ABLIM1
EFNA1	AC018557.1
KRTCAP2	AC244453.1
KRTCAP2	DCTN1
KRTCAP2	RNF44
KRTCAP2	CYP51A1
KRTCAP2	LINC01428
KRTCAP2	UCKL1
KRTCAP2	IL10RB
AL355388.2	HSPBAP1
SSR2	B4GALT7
SSR2	COQ3
SSR2	TRMT2B
CCT3	NUDC
CCT3	RAP2C-AS1
CCT3	DNAJA1
CCT3	AP001157.1
CCT3	AHSA1
CCT3	MROH8
CCT3	SLC9A8
CCT3	ZNF66
CCT3	SPHK2
CCT3	DOPEY2
C1orf61	HES5
C1orf61	ADORA1
C1orf61	STRIP2
C1orf61	LHPP
C1orf61	EHD4
C1orf61	ALDH1A3
NAXE	TOR3A
NAXE	ISOC1
AL590666.2	STAT6
NTRK1	CIART
NTRK1	AL356356.1
NTRK1	ADAMTS4
NTRK1	AL391811.1
NTRK1	LINC01819
NTRK1	LINC01800
NTRK1	GPR78
NTRK1	SPDL1
NTRK1	AC137579.1
NTRK1	AL135934.1
NTRK1	AP003733.3
NTRK1	PKD2L1
NTRK1	LINC00596
NTRK1	LTB4R
NTRK1	ZNF774
NTRK1	ZNF850
NTRK1	ACR
PEA15	RRAGC
PEA15	PSMD10
PEA15	VMA21
PEA15	SDCBP
AL354714.1	MYCL
AL354714.1	TMEM61
AL354714.1	AL355388.2
AL354714.1	AC092155.1
AL354714.1	LINC02585
AL354714.1	AC004982.1
AL354714.1	AC083864.2
AL354714.1	PASD1
AL354714.1	SCARA5
AL354714.1	AF186192.1
AL354714.1	AC069287.1
AL354714.1	TUNAR
AL354714.1	CCNB2
AL354714.1	AC016987.1
AL354714.1	AC007906.2
AL354714.1	AC087289.3
AL354714.1	AC011825.4
AL354714.1	TNFRSF11A
AL354714.1	ZNF560
AL354714.1	AP000322.1
F11R	AL591806.3
PFDN2	CHMP7
NR1I3	CGN
NR1I3	TNNT2
NR1I3	AC068633.1
NR1I3	PRLR
NR1I3	TWNK
NR1I3	HEATR9
NR1I3	AC004231.1
NR1I3	GMIP
FCGR2A	FCRLB
FCGR2A	ABCG5
FCGR2A	PEX13
FCGR2A	LINC01091
FCGR2A	LINC01574
FCGR2A	KLHL35
FCGR2A	SYT15
FCGR2A	PMEL
FCGR2A	KCNK13
FCGR2A	MMP28
FCGR2A	PLTP
FCGR2A	AC011468.5
FCRLB	AC016257.1
SH2D1B	AC091685.1
SH2D1B	EIF1AD
SH2D1B	SLC15A5
SH2D1B	TDG
AL499616.1	ITGA6
AL499616.1	GYPB
AL499616.1	AP002373.1
AL499616.1	AC007656.1
AL499616.1	NUSAP1
AL499616.1	AC008440.2
AL626787.1	LINC00502
AL023755.1	TUFT1
AL023755.1	CLK2
AL023755.1	AC005329.1
ATP1B1	GOT1
AL021068.1	AC096639.1
AL021068.1	AC027682.2
AL021068.1	AC004223.3
SELE	FUCA1
SELE	NCMAP
SELE	AC093423.3
SELE	AC245100.7
SELE	CTSS
SELE	AC234582.1
SELE	MYOCOS
SELE	AL031599.1
SELE	AL356272.1
SELE	AL390860.1
SELE	LINC01865
SELE	KCNG3
SELE	NR4A2
SELE	B3GALT1
SELE	AC012594.1
SELE	ABCA12
SELE	INPP5D
SELE	SCN10A
SELE	HHLA2
SELE	ACPP
SELE	AC096992.2
SELE	VEPH1
SELE	GPR160
SELE	TRMT44
SELE	AC016687.3
SELE	AC016687.2
SELE	CDS1
SELE	LINC00499
SELE	CCL28
SELE	AC112206.2
SELE	AC109492.1
SELE	GPX3
SELE	AC010609.1
SELE	FABP6
SELE	HMMR
SELE	CAGE1
SELE	GRM4
SELE	PRSS35
SELE	FRK
SELE	OPRM1
SELE	NPY
SELE	CPVL
SELE	AC018647.1
SELE	TRGC2
SELE	PGAM2
SELE	ABCA13
SELE	LINC01446
SELE	AC093655.1
SELE	FKBP6
SELE	AC078845.1
SELE	AKR1D1
SELE	GPR143
SELE	WWC3-AS1
SELE	AF196972.1
SELE	PHKA1-AS1
SELE	RP1L1
SELE	TNFRSF10A
SELE	AC105999.1
SELE	AC023866.2
SELE	DPYS
SELE	AC068413.1
SELE	FER1L6
SELE	RASEF
SELE	LINC01508
SELE	LAMC3
SELE	AC090791.1
SELE	AP001458.2
SELE	SIPA1
SELE	AP003781.1
SELE	DCUN1D5
SELE	AP002856.2
SELE	ADAM8
SELE	DYRK4
SELE	CD4
SELE	LINC02471
SELE	KRT8
SELE	LINC02341
SELE	AL136295.5
SELE	AL121852.1
SELE	ASB2
SELE	PWRN1
SELE	LTK
SELE	AC084782.1
SELE	CHRNA5
SELE	IDH2-DT
SELE	AC012409.2
SELE	AC005363.2
SELE	EIF3CL
SELE	AC012322.1
SELE	AC009055.1
SELE	CMTM2
SELE	AC106729.1
